Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.632,16.112,67.81,37.8102,56.818112,0.2157,0.1565,0.0166
269.639,16.251,67.81,37.8102,56.818112,0.214,0.1548,0.0164
269.646,16.39,67.81,37.8102,56.818112,0.2122,0.1532,0.0163
269.652,16.53,67.81,37.8102,56.818112,0.2105,0.1515,0.0162
269.659,16.671,67.81,37.8102,56.818112,0.2088,0.1499,0.0161
269.666,16.813,67.81,37.8102,56.818112,0.2071,0.1482,0.0159
269.673,16.956,67.81,37.8102,56.818112,0.2054,0.1466,0.0158
269.68,17.101,67.81,37.8102,56.818112,0.2037,0.1449,0.0157
269.687,17.246,67.81,37.8102,56.818112,0.2021,0.1433,0.0155
269.694,17.393,67.81,37.8102,56.818112,0.2005,0.1417,0.0154
269.701,17.541,67.81,37.8102,56.818112,0.1988,0.14,0.0153
269.708,17.69,67.81,37.8102,56.818112,0.1972,0.1384,0.0152
269.715,17.84,67.81,37.8102,56.818112,0.1957,0.1368,0.015
269.723,17.991,67.81,37.8102,56.818112,0.1941,0.1352,0.0149
269.73,18.144,67.81,37.8102,56.818112,0.1925,0.1335,0.0148
269.738,18.297,67.81,37.8102,56.818112,0.191,0.1319,0.0147
269.745,18.452,67.81,37.8102,56.818112,0.1894,0.1303,0.0146
269.753,18.608,67.81,37.8102,56.818112,0.1879,0.1287,0.0144
269.76,18.766,67.81,37.8102,56.818112,0.1864,0.1271,0.0143
269.768,18.925,67.81,37.8102,56.818112,0.1849,0.1255,0.0142
269.776,19.085,67.81,37.8102,56.818112,0.1834,0.1239,0.0141
269.783,19.246,67.81,37.8102,56.818112,0.182,0.1223,0.014
269.791,19.409,67.81,37.8102,56.818112,0.1805,0.1207,0.0139
269.799,19.573,67.81,37.8102,56.818112,0.1791,0.1191,0.0138
269.807,19.739,67.81,37.8102,56.818112,0.1777,0.1175,0.0137
269.815,19.906,67.81,37.8102,56.818112,0.1762,0.1159,0.0135
269.823,20.074,67.81,37.8102,56.818112,0.1748,0.1143,0.0134
269.832,20.244,67.81,37.8102,56.818112,0.1734,0.1127,0.0133
269.84,20.415,67.81,37.8102,56.818112,0.1721,0.1111,0.0132
269.848,20.588,67.81,37.8102,56.818112,0.1707,0.1095,0.0131
269.857,20.762,67.81,37.8102,56.818112,0.1693,0.108,0.013
269.865,20.938,67.81,37.8102,56.818112,0.168,0.1064,0.0129
269.874,21.115,67.81,37.8102,56.818112,0.1667,0.1048,0.0128
269.883,21.294,67.81,37.8102,56.818112,0.1653,0.1033,0.0127
269.891,21.475,67.81,37.8102,56.818112,0.164,0.1017,0.0126
269.9,21.657,67.81,37.8102,56.818112,0.1627,0.1001,0.0125
269.909,21.841,67.81,37.8102,56.818112,0.1614,0.0986,0.0124
269.918,22.026,67.81,37.8102,56.818112,0.1601,0.097,0.0123
269.927,22.213,67.81,37.8102,56.818112,0.1589,0.0955,0.0122
269.937,22.402,67.81,37.8102,56.818112,0.1576,0.0939,0.0121
269.946,22.593,67.81,37.8102,56.818112,0.1563,0.0924,0.012
269.956,22.786,67.81,37.8102,56.818112,0.1551,0.0908,0.0119
269.965,22.98,67.81,37.8102,56.818112,0.1539,0.0893,0.0118
269.975,23.176,67.81,37.8102,56.818112,0.1526,0.0878,0.0117
269.984,23.374,67.81,37.8102,56.818112,0.1514,0.0863,0.0116
269.994,23.574,67.81,37.8102,56.818112,0.1502,0.0847,0.0115
270.004,23.776,67.81,37.8102,56.818112,0.149,0.0832,0.0115
270.014,23.98,67.81,37.8102,56.818112,0.1479,0.0817,0.0114
270.025,24.185,67.81,37.8102,56.818112,0.1467,0.0802,0.0113
270.035,24.393,67.81,37.8102,56.818112,0.1455,0.0787,0.0112
270.045,24.603,67.81,37.8102,56.818112,0.1444,0.0772,0.0111
270.056,24.815,67.81,37.8102,56.818112,0.1432,0.0757,0.011
270.067,25.029,67.81,37.8102,56.818112,0.1421,0.0741,0.0109
270.077,25.245,67.81,37.8102,56.818112,0.1409,0.0736,0.0108
270.088,25.464,67.81,37.8102,56.818112,0.1398,0.0731,0.0107
270.099,25.684,67.81,37.8102,56.818112,0.1387,0.0726,0.0107
270.111,25.907,67.81,37.8102,56.818112,0.1376,0.0721,0.0106
270.122,26.132,67.81,37.8102,56.818112,0.1365,0.0715,0.0105
270.134,26.359,67.81,37.8102,56.818112,0.1354,0.071,0.0104
270.145,26.589,67.81,37.8102,56.818112,0.1343,0.0705,0.0103
270.157,26.821,67.81,37.8102,56.818112,0.1333,0.07,0.0102
270.169,27.056,67.81,37.8102,56.818112,0.1322,0.0695,0.0102
270.181,27.293,67.81,37.8102,56.818112,0.1311,0.0691,0.0101
270.193,27.533,67.81,37.8102,56.818112,0.1301,0.0686,0.01
270.206,27.775,67.81,37.8102,56.818112,0.1291,0.0681,0.0099
270.218,28.02,67.81,37.8102,56.818112,0.128,0.0676,0.0098
270.231,28.267,67.81,37.8102,56.818112,0.127,0.0671,0.0098
270.244,28.517,67.81,37.8102,56.818112,0.126,0.0667,0.0097
270.257,28.77,67.81,37.8102,56.818112,0.125,0.0662,0.0096
270.271,29.026,67.81,37.8102,56.818112,0.124,0.0657,0.0095
270.284,29.284,67.81,37.8102,56.818112,0.123,0.0653,0.0095
270.298,29.545,67.81,37.8102,56.818112,0.122,0.0648,0.0094
270.312,29.809,67.81,37.8102,56.818112,0.121,0.0644,0.0093
270.326,30.076,67.81,37.8102,56.818112,0.12,0.0639,0.0092
270.341,30.346,67.81,37.8102,56.818112,0.1191,0.0635,0.0092
270.355,30.62,67.81,37.8102,56.818112,0.1181,0.063,0.0091
270.37,30.896,67.81,37.8102,56.818112,0.1172,0.0626,0.009
270.385,31.175,67.81,37.8102,56.818112,0.1162,0.0622,0.0089
270.4,31.458,67.81,37.8102,56.818112,0.1153,0.0617,0.0089
270.416,31.744,67.81,37.8102,56.818112,0.1144,0.0613,0.0088
270.432,32.033,67.81,37.8102,56.818112,0.1134,0.0609,0.0087
270.448,32.325,67.81,37.8102,56.818112,0.1125,0.0605,0.0086
270.464,32.621,67.81,37.8102,56.818112,0.1116,0.0601,0.0086
270.481,32.92,67.81,37.8102,56.818112,0.1107,0.0596,0.0085
270.498,33.223,67.81,37.8102,56.818112,0.1098,0.0592,0.0084
270.515,33.53,67.81,37.8102,56.818112,0.109,0.0588,0.0084
270.533,33.84,67.81,37.8102,56.818112,0.1081,0.0584,0.0083
270.55,34.154,67.81,37.8102,56.818112,0.1072,0.058,0.0082
270.569,34.471,67.81,37.8102,56.818112,0.1063,0.0576,0.0082
270.587,34.793,67.81,37.8102,56.818112,0.1055,0.0573,0.0081
270.606,35.118,67.81,37.8102,56.818112,0.1046,0.0569,0.008
270.625,35.447,67.81,37.8102,56.818112,0.1038,0.0565,0.008
270.645,35.78,67.81,37.8102,56.818112,0.103,0.0561,0.0079
270.665,36.117,67.81,37.8102,56.818112,0.1021,0.0557,0.0078
270.685,36.459,67.81,37.8102,56.818112,0.1013,0.0554,0.0078
270.706,36.804,67.81,37.8102,56.818112,0.1005,0.055,0.0077
270.727,37.154,67.81,37.8102,56.818112,0.0997,0.0546,0.0077
270.749,37.508,67.81,37.8102,56.818112,0.0989,0.0543,0.0076
270.771,37.867,67.81,37.8102,56.818112,0.0981,0.0539,0.0075
270.793,38.23,67.81,37.8102,56.818112,0.0973,0.0535,0.0075
270.816,38.598,67.81,37.8102,56.818112,0.0965,0.0532,0.0074
270.84,38.97,67.81,37.8102,56.818112,0.0957,0.0528,0.0074
270.864,39.347,67.81,37.8102,56.818112,0.095,0.0525,0.0073
270.888,39.728,67.81,37.8102,56.818112,0.0942,0.0522,0.0072
270.913,40.114,67.81,37.8102,56.818112,0.0934,0.0518,0.0072
270.939,40.506,67.81,37.8102,56.818112,0.0927,0.0515,0.0071
270.965,40.902,67.81,37.8102,56.818112,0.092,0.0511,0.0071
270.992,41.303,67.81,37.8102,56.818112,0.0912,0.0508,0.007
271.02,41.71,67.81,37.8102,56.818112,0.0905,0.0505,0.007
271.048,42.121,67.81,37.8102,56.818112,0.0898,0.0502,0.0069
271.077,42.538,67.81,37.8102,56.818112,0.0891,0.0499,0.0068
271.107,42.96,67.81,37.8102,56.818112,0.0884,0.0495,0.0068
271.137,43.387,67.81,37.8102,56.818112,0.0877,0.0492,0.0067
271.169,43.82,67.81,37.8102,56.818112,0.087,0.0489,0.0067
271.201,44.259,67.81,37.8102,56.818112,0.0863,0.0486,0.0066
271.234,44.703,67.81,37.8102,56.818112,0.0856,0.0483,0.0066
271.268,45.153,67.81,37.8102,56.818112,0.0849,0.048,0.0065
271.303,45.608,67.81,37.8102,56.818112,0.0843,0.0477,0.0065
271.338,46.07,67.81,37.8102,56.818112,0.0836,0.0474,0.0064
271.375,46.537,67.81,37.8102,56.818112,0.083,0.0471,0.0064
271.413,47.01,67.81,37.8102,56.818112,0.0823,0.0469,0.0063
271.452,47.489,67.81,37.8102,56.818112,0.0817,0.0466,0.0063
271.493,47.975,67.81,37.8102,56.818112,0.0811,0.0463,0.0062
271.534,48.466,67.81,37.8102,56.818112,0.0805,0.046,0.0062
271.577,48.964,67.81,37.8102,56.818112,0.0799,0.0458,0.0061
271.621,49.468,67.81,37.8102,56.818112,0.0793,0.0455,0.0061
271.667,49.978,67.81,37.8102,56.818112,0.0787,0.0452,0.006
