Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.9,21.657,81.435,51.435,70.442936,3.1718,4.8872,0.2366
269.909,21.841,81.435,51.435,70.442936,3.1466,4.8121,0.2347
269.918,22.026,81.435,51.435,70.442936,3.1216,4.7372,0.2328
269.927,22.213,81.435,51.435,70.442936,3.0968,4.6624,0.231
269.937,22.402,81.435,51.435,70.442936,3.0722,4.5878,0.2291
269.946,22.593,81.435,51.435,70.442936,3.0478,4.5133,0.2273
269.956,22.786,81.435,51.435,70.442936,3.0236,4.4391,0.2255
269.965,22.98,81.435,51.435,70.442936,2.9995,4.365,0.2237
269.975,23.176,81.435,51.435,70.442936,2.9757,4.2911,0.2219
269.984,23.374,81.435,51.435,70.442936,2.9521,4.2175,0.2202
269.994,23.574,81.435,51.435,70.442936,2.9286,4.144,0.2184
270.004,23.776,81.435,51.435,70.442936,2.9053,4.0708,0.2167
270.014,23.98,81.435,51.435,70.442936,2.8822,3.9979,0.215
270.025,24.185,81.435,51.435,70.442936,2.8593,3.9252,0.2133
270.035,24.393,81.435,51.435,70.442936,2.8366,3.8527,0.2116
270.045,24.603,81.435,51.435,70.442936,2.814,3.7806,0.2099
270.056,24.815,81.435,51.435,70.442936,2.7916,3.7087,0.2082
270.067,25.029,81.435,51.435,70.442936,2.7694,3.631,0.2065
270.077,25.245,81.435,51.435,70.442936,2.7474,3.6058,0.2049
270.088,25.464,81.435,51.435,70.442936,2.7255,3.5808,0.2033
270.099,25.684,81.435,51.435,70.442936,2.7038,3.556,0.2016
270.111,25.907,81.435,51.435,70.442936,2.6822,3.5315,0.2
270.122,26.132,81.435,51.435,70.442936,2.6609,3.5071,0.1984
270.134,26.359,81.435,51.435,70.442936,2.6396,3.4829,0.1969
270.145,26.589,81.435,51.435,70.442936,2.6186,3.459,0.1953
270.157,26.821,81.435,51.435,70.442936,2.5977,3.4352,0.1937
270.169,27.056,81.435,51.435,70.442936,2.5769,3.4116,0.1922
270.181,27.293,81.435,51.435,70.442936,2.5564,3.3883,0.1906
270.193,27.533,81.435,51.435,70.442936,2.5359,3.3651,0.1891
270.206,27.775,81.435,51.435,70.442936,2.5157,3.3421,0.1876
270.218,28.02,81.435,51.435,70.442936,2.4956,3.3193,0.1861
270.231,28.267,81.435,51.435,70.442936,2.4756,3.2967,0.1846
270.244,28.517,81.435,51.435,70.442936,2.4558,3.2743,0.1831
270.257,28.77,81.435,51.435,70.442936,2.4361,3.252,0.1817
270.271,29.026,81.435,51.435,70.442936,2.4166,3.23,0.1802
270.284,29.284,81.435,51.435,70.442936,2.3972,3.2081,0.1788
270.298,29.545,81.435,51.435,70.442936,2.378,3.1864,0.1773
270.312,29.809,81.435,51.435,70.442936,2.3589,3.1649,0.1759
270.326,30.076,81.435,51.435,70.442936,2.34,3.1436,0.1745
270.341,30.346,81.435,51.435,70.442936,2.3212,3.1224,0.1731
270.355,30.62,81.435,51.435,70.442936,2.3026,3.1014,0.1717
270.37,30.896,81.435,51.435,70.442936,2.2841,3.0806,0.1703
270.385,31.175,81.435,51.435,70.442936,2.2657,3.06,0.169
270.4,31.458,81.435,51.435,70.442936,2.2475,3.0396,0.1676
270.416,31.744,81.435,51.435,70.442936,2.2294,3.0193,0.1663
270.432,32.033,81.435,51.435,70.442936,2.2115,2.9992,0.1649
270.448,32.325,81.435,51.435,70.442936,2.1937,2.9793,0.1636
270.464,32.621,81.435,51.435,70.442936,2.176,2.9595,0.1623
270.481,32.92,81.435,51.435,70.442936,2.1585,2.9399,0.161
270.498,33.223,81.435,51.435,70.442936,2.1411,2.9205,0.1597
270.515,33.53,81.435,51.435,70.442936,2.1239,2.9012,0.1584
270.533,33.84,81.435,51.435,70.442936,2.1068,2.8821,0.1571
270.55,34.154,81.435,51.435,70.442936,2.0898,2.8632,0.1558
270.569,34.471,81.435,51.435,70.442936,2.0729,2.8444,0.1546
270.587,34.793,81.435,51.435,70.442936,2.0562,2.8258,0.1533
270.606,35.118,81.435,51.435,70.442936,2.0397,2.8074,0.1521
270.625,35.447,81.435,51.435,70.442936,2.0232,2.7892,0.1509
270.645,35.78,81.435,51.435,70.442936,2.0069,2.7711,0.1497
270.665,36.117,81.435,51.435,70.442936,1.9907,2.7531,0.1485
270.685,36.459,81.435,51.435,70.442936,1.9747,2.7353,0.1473
270.706,36.804,81.435,51.435,70.442936,1.9588,2.7177,0.1461
270.727,37.154,81.435,51.435,70.442936,1.943,2.7003,0.1449
270.749,37.508,81.435,51.435,70.442936,1.9274,2.683,0.1437
270.771,37.867,81.435,51.435,70.442936,1.9119,2.6659,0.1426
270.793,38.23,81.435,51.435,70.442936,1.8965,2.6489,0.1414
270.816,38.598,81.435,51.435,70.442936,1.8813,2.6321,0.1403
270.84,38.97,81.435,51.435,70.442936,1.8662,2.6155,0.1392
270.864,39.347,81.435,51.435,70.442936,1.8512,2.599,0.138
270.888,39.728,81.435,51.435,70.442936,1.8364,2.5827,0.1369
270.913,40.114,81.435,51.435,70.442936,1.8217,2.5666,0.1358
270.939,40.506,81.435,51.435,70.442936,1.8071,2.5506,0.1348
270.965,40.902,81.435,51.435,70.442936,1.7927,2.5348,0.1337
270.992,41.303,81.435,51.435,70.442936,1.7784,2.5191,0.1326
271.02,41.71,81.435,51.435,70.442936,1.7642,2.5036,0.1316
271.048,42.121,81.435,51.435,70.442936,1.7502,2.4883,0.1305
271.077,42.538,81.435,51.435,70.442936,1.7363,2.4732,0.1295
271.107,42.96,81.435,51.435,70.442936,1.7226,2.4582,0.1284
271.137,43.387,81.435,51.435,70.442936,1.7089,2.4433,0.1274
271.169,43.82,81.435,51.435,70.442936,1.6955,2.4287,0.1264
271.201,44.259,81.435,51.435,70.442936,1.6821,2.4142,0.1254
271.234,44.703,81.435,51.435,70.442936,1.6689,2.3998,0.1245
271.268,45.153,81.435,51.435,70.442936,1.6559,2.3857,0.1235
271.303,45.608,81.435,51.435,70.442936,1.643,2.3717,0.1225
271.338,46.07,81.435,51.435,70.442936,1.6302,2.3579,0.1216
271.375,46.537,81.435,51.435,70.442936,1.6176,2.3442,0.1206
271.413,47.01,81.435,51.435,70.442936,1.6051,2.3307,0.1197
271.452,47.489,81.435,51.435,70.442936,1.5928,2.3174,0.1188
271.493,47.975,81.435,51.435,70.442936,1.5806,2.3043,0.1179
271.534,48.466,81.435,51.435,70.442936,1.5685,2.2913,0.117
271.577,48.964,81.435,51.435,70.442936,1.5566,2.2785,0.1161
271.621,49.468,81.435,51.435,70.442936,1.5449,2.2659,0.1152
271.667,49.978,81.435,51.435,70.442936,1.5333,2.2535,0.1143
271.714,50.495,81.435,51.435,70.442936,1.5219,2.2412,0.1135
271.763,51.018,81.435,51.435,70.442936,1.5106,2.2291,0.1126
271.814,51.548,81.435,51.435,70.442936,1.4994,2.2172,0.1118
271.866,52.084,81.435,51.435,70.442936,1.4885,2.2055,0.111
271.92,52.627,81.435,51.435,70.442936,1.4776,2.194,0.1102
271.977,53.177,81.435,51.435,70.442936,1.467,2.1826,0.1094
272.035,53.733,81.435,51.435,70.442936,1.4565,2.1715,0.1086
272.096,54.297,81.435,51.435,70.442936,1.4461,2.1605,0.1078
272.159,54.866,81.435,51.435,70.442936,1.436,2.1497,0.1071
272.224,55.443,81.435,51.435,70.442936,1.4259,2.1391,0.1063
272.293,56.027,81.435,51.435,70.442936,1.4161,2.1287,0.1056
272.364,56.617,81.435,51.435,70.442936,1.4064,2.1185,0.1049
272.438,57.215,81.435,51.435,70.442936,1.3969,2.1085,0.1042
272.516,57.819,81.435,51.435,70.442936,1.3876,2.0986,0.1035
272.597,58.43,81.435,51.435,70.442936,1.3784,2.089,0.1028
272.682,59.048,81.435,51.435,70.442936,1.3694,2.0796,0.1021
272.771,59.673,81.435,51.435,70.442936,1.3606,2.0703,0.1015
272.864,60.305,81.435,51.435,70.442936,1.352,2.0613,0.1008
272.962,60.943,81.435,51.435,70.442936,1.3436,2.0524,0.1002
273.065,61.589,81.435,51.435,70.442936,1.3353,2.0438,0.0996
273.174,62.241,81.435,51.435,70.442936,1.3272,2.0354,0.099
273.288,62.9,81.435,51.435,70.442936,1.3193,2.0272,0.0984
273.409,63.566,81.435,51.435,70.442936,1.3116,2.0191,0.0978
273.537,64.238,81.435,51.435,70.442936,1.3041,2.0113,0.0972
273.673,64.917,81.435,51.435,70.442936,1.2968,2.0037,0.0967
273.817,65.603,81.435,51.435,70.442936,1.2897,1.9964,0.0962
273.97,66.295,81.435,51.435,70.442936,1.2828,1.9892,0.0956
274.134,66.993,81.435,51.435,70.442936,1.2761,1.9822,0.0951
274.308,67.698,81.435,51.435,70.442936,1.2695,1.9755,0.0947
274.495,68.408,81.435,51.435,70.442936,1.2632,1.969,0.0942
274.696,69.125,81.435,51.435,70.442936,1.2571,1.9627,0.0937
274.913,69.847,81.435,51.435,70.442936,1.2512,1.9566,0.0933
275.146,70.575,81.435,51.435,70.442936,1.2455,1.9508,0.0929
275.399,71.308,81.435,51.435,70.442936,1.24,1.9451,0.0925
275.674,72.047,81.435,51.435,70.442936,1.2347,1.9397,0.0921
275.974,72.791,81.435,51.435,70.442936,1.2297,1.9345,0.0917
276.303,73.539,81.435,51.435,70.442936,1.2248,1.9296,0.0913
276.664,74.293,81.435,51.435,70.442936,1.2202,1.9249,0.091
277.063,75.05,81.435,51.435,70.442936,1.2158,1.9204,0.0907
277.507,75.811,81.435,51.435,70.442936,1.2116,1.9161,0.0903
278.003,76.577,81.435,51.435,70.442936,1.2076,1.9121,0.09
278.561,77.345,81.435,51.435,70.442936,1.2039,1.9082,0.0898
279.193,78.116,81.435,51.435,70.442936,1.2004,1.9047,0.0895
279.915,78.89,81.435,51.435,70.442936,1.1971,1.9013,0.0893
280.747,79.665,81.435,51.435,70.442936,1.194,1.8982,0.089
281.717,80.441,81.435,51.435,70.442936,1.1912,1.8954,0.0888
282.862,81.217,81.435,51.435,70.442936,1.1886,1.8927,0.0886
284.231,81.992,81.435,51.435,70.442936,1.1862,1.8903,0.0884
285.895,82.764,81.435,51.435,70.442936,1.1841,1.8882,0.0883
287.96,83.531,81.435,51.435,70.442936,1.1822,1.8862,0.0881
290.58,84.289,81.435,51.435,70.442936,1.1805,1.8846,0.088
293.999,85.033,81.435,51.435,70.442936,1.1791,1.8831,0.0879
298.607,85.756,81.435,51.435,70.442936,1.1779,1.8819,0.0878
305.049,86.441,81.435,51.435,70.442936,1.177,1.8809,0.0878
